experiment_family,context,method,threshold_type,threshold_value,f1_pe,f1_ci_lo,f1_ci_hi,roc_auc_pe,roc_auc_ci_lo,roc_auc_ci_hi,pr_auc_pe,pr_auc_ci_lo,pr_auc_ci_hi,n_test,n_attacks,n_bootstrap,notes
single_source_default,cic_indomain,lr,default,0.5,0.31,0.3076,0.3124,0.2868,0.2712,0.3011,0.5222,0.4932,0.5199,491455,197378,1000,
single_source_default,cic_indomain,rf,default,0.5,0.0737,0.0723,0.0753,0.7617,0.7483,0.7714,0.8624,0.8584,0.8776,491455,197378,1000,
single_source_default,cic_indomain,xgb,default,0.5,0.1256,0.1237,0.1275,0.9322,0.9273,0.9417,0.9207,0.9091,0.9272,491455,197378,1000,
single_source_default,cic_indomain,cnn1d,default,0.5,0.3197,0.3172,0.322,0.9959,0.9954,0.9989,0.9947,0.9908,0.9983,491455,197378,1000,
single_source_default,cic_indomain,lstm,default,0.5,0.3199,0.3175,0.3223,0.8449,0.8238,0.8505,0.768,0.7611,0.7904,491455,197378,1000,
single_source_default,iot_indomain,lr,default,0.5,0.0608,0.0535,0.0673,0.7573,0.7483,0.7786,0.6727,0.653,0.6861,12865,7348,1000,
single_source_default,iot_indomain,rf,default,0.5,0.0024,0.0011,0.004,0.6066,0.6019,0.627,0.6818,0.6653,0.7053,12865,7348,1000,
single_source_default,iot_indomain,xgb,default,0.5,0.0588,0.0518,0.0666,0.7003,0.6817,0.7182,0.5655,0.5521,0.5779,12865,7348,1000,
single_source_default,iot_indomain,cnn1d,default,0.5,0.0265,0.0219,0.0321,0.6278,0.621,0.6548,0.6204,0.5914,0.6245,12865,7348,1000,
single_source_default,iot_indomain,lstm,default,0.5,0.4681,0.4553,0.4799,0.8944,0.8824,0.9048,0.766,0.7514,0.7857,12865,7348,1000,
single_source_default,unsw_indomain,lr,default,0.5,0.538,0.5304,0.5458,0.964,0.9513,0.9633,0.9374,0.9223,0.9469,122175,6916,1000,
single_source_default,unsw_indomain,rf,default,0.5,0.8301,0.824,0.8365,0.9933,0.9907,0.9954,0.9896,0.9862,0.9935,122175,6916,1000,
single_source_default,unsw_indomain,xgb,default,0.5,0.8155,0.8087,0.8213,0.993,0.9907,0.9952,0.9881,0.9849,0.9936,122175,6916,1000,
single_source_default,unsw_indomain,cnn1d,default,0.5,0.8261,0.8195,0.8322,0.9919,0.9908,0.9954,0.9916,0.9848,0.9932,122175,6916,1000,
single_source_default,unsw_indomain,lstm,default,0.5,0.8122,0.8056,0.8182,0.9924,0.9884,0.9936,0.9906,0.9832,0.9911,122175,6916,1000,
single_source_default,cic_to_iot,lr,default,0.5,0.8921,0.8865,0.8976,0.9808,0.9791,0.9857,0.9648,0.9503,0.9728,12865,7348,1000,
single_source_default,cic_to_iot,rf,default,0.5,0.0,0.0,0.0,0.6654,0.6495,0.6761,0.6592,0.636,0.6701,12865,7348,1000,
single_source_default,cic_to_iot,xgb,default,0.5,0.0,0.0,0.0,0.8793,0.8643,0.8872,0.8929,0.8763,0.9039,12865,7348,1000,
single_source_default,cic_to_iot,cnn1d,default,0.5,0.0005,0.0,0.0014,0.9066,0.8925,0.9106,0.8258,0.8037,0.8385,12865,7348,1000,
single_source_default,cic_to_iot,lstm,default,0.5,0.0,0.0,0.0,0.919,0.9114,0.9298,0.857,0.8375,0.8715,12865,7348,1000,
single_source_default,unsw_to_iot,lr,default,0.5,0.8601,0.8538,0.866,0.8723,0.8649,0.8867,0.7763,0.7548,0.7885,12865,7348,1000,
single_source_default,unsw_to_iot,rf,default,0.5,0.3479,0.3352,0.3602,0.8235,0.8083,0.8318,0.7779,0.7643,0.797,12865,7348,1000,
single_source_default,unsw_to_iot,xgb,default,0.5,0.8081,0.8009,0.8147,0.8005,0.7819,0.8106,0.7027,0.6847,0.7182,12865,7348,1000,
single_source_default,unsw_to_iot,cnn1d,default,0.5,0.7891,0.7823,0.7963,0.8103,0.7915,0.8156,0.7696,0.7543,0.7865,12865,7348,1000,
single_source_default,unsw_to_iot,lstm,default,0.5,0.7074,0.6999,0.7141,0.4544,0.4311,0.466,0.5115,0.5023,0.5326,12865,7348,1000,
single_source_default,cic_to_unsw,lr,default,0.5,0.1429,0.136,0.1494,0.6167,0.6037,0.6373,0.6154,0.5931,0.6261,122175,6916,1000,
single_source_default,cic_to_unsw,rf,default,0.5,0.0,0.0,0.0,0.5813,0.572,0.6051,0.577,0.5675,0.6019,122175,6916,1000,
single_source_default,cic_to_unsw,xgb,default,0.5,0.0003,0.0,0.0009,0.3259,0.3092,0.3394,0.4316,0.4218,0.4474,122175,6916,1000,
single_source_default,cic_to_unsw,cnn1d,default,0.5,0.0,0.0,0.0,0.6972,0.6814,0.7107,0.6939,0.6783,0.7124,122175,6916,1000,
single_source_default,cic_to_unsw,lstm,default,0.5,0.0,0.0,0.0,0.5378,0.5233,0.5562,0.5687,0.5546,0.5869,122175,6916,1000,
single_source_default,iot_to_unsw,lr,default,0.5,0.0316,0.0296,0.0336,0.3314,0.3114,0.3418,0.3876,0.3818,0.3977,122175,6916,1000,
