eval_block,source_dataset,target_dataset,regime,method_a,method_b,threshold_type,n_attacks,n_benign,tp_a,tp_b,tp_shared,tp_a_only,tp_b_only,fp_a,fp_b,fp_shared,fp_a_only,fp_b_only,tp_jaccard,fp_jaccard,tp_overlap_ratio_a,tp_overlap_ratio_b,fp_overlap_ratio_a,fp_overlap_ratio_b,degenerate_note
in_domain_cic,CIC-IDS2017,CIC-IDS2017,in_domain,lr,xgb,default,197378,294077,38235,13223,13223,25012,0,11067,36,36,11031,0,0.3458,0.0033,0.3458,1.0,0.0033,1.0,
in_domain_cic,CIC-IDS2017,CIC-IDS2017,in_domain,lr,lstm,default,197378,294077,38235,37605,37605,630,0,11067,151,112,10955,39,0.9835,0.0101,0.9835,1.0,0.0101,0.7417,
in_domain_cic,CIC-IDS2017,CIC-IDS2017,in_domain,xgb,lstm,default,197378,294077,13223,37605,13223,0,24382,36,151,36,0,115,0.3516,0.2384,1.0,0.3516,1.0,0.2384,
in_domain_cic,CIC-IDS2017,CIC-IDS2017,in_domain,suricata,lr,default,197378,294077,191,38235,6,185,38229,704,11067,38,666,11029,0.0002,0.0032,0.0314,0.0002,0.054,0.0034,
in_domain_cic,CIC-IDS2017,CIC-IDS2017,in_domain,suricata,xgb,default,197378,294077,191,13223,0,191,13223,704,36,0,704,36,0.0,0.0,0.0,0.0,0.0,0.0,
in_domain_cic,CIC-IDS2017,CIC-IDS2017,in_domain,suricata,lstm,default,197378,294077,191,37605,6,185,37599,704,151,0,704,151,0.0002,0.0,0.0314,0.0002,0.0,0.0,
in_domain_cic,CIC-IDS2017,CIC-IDS2017,in_domain,lr,xgb,val_tuned,197378,294077,154,38240,154,0,38086,14,2500,4,10,2496,0.004,0.0016,1.0,0.004,0.2857,0.0016,lr degenerate at val_tuned
in_domain_cic,CIC-IDS2017,CIC-IDS2017,in_domain,lr,lstm,val_tuned,197378,294077,154,37605,154,0,37451,14,140,1,13,139,0.0041,0.0065,1.0,0.0041,0.0714,0.0071,lr degenerate at val_tuned
in_domain_cic,CIC-IDS2017,CIC-IDS2017,in_domain,xgb,lstm,val_tuned,197378,294077,38240,37605,37605,635,0,2500,140,102,2398,38,0.9834,0.0402,0.9834,1.0,0.0408,0.7286,
in_domain_cic,CIC-IDS2017,CIC-IDS2017,in_domain,lr,xgb,fixed_fpr,197378,294077,37604,38240,37604,0,636,2696,3023,346,2350,2677,0.9834,0.0644,1.0,0.9834,0.1283,0.1145,
in_domain_cic,CIC-IDS2017,CIC-IDS2017,in_domain,lr,lstm,fixed_fpr,197378,294077,37604,37607,37604,0,3,2696,2703,215,2481,2488,0.9999,0.0415,1.0,0.9999,0.0797,0.0795,
in_domain_cic,CIC-IDS2017,CIC-IDS2017,in_domain,xgb,lstm,fixed_fpr,197378,294077,38240,37607,37605,635,2,3023,2703,317,2706,2386,0.9833,0.0586,0.9834,0.9999,0.1049,0.1173,
in_domain_iot,IoT-23,IoT-23,in_domain,lr,xgb,default,7348,5517,237,227,224,13,3,208,140,92,116,48,0.9333,0.3594,0.9451,0.9868,0.4423,0.6571,
in_domain_iot,IoT-23,IoT-23,in_domain,lr,lstm,default,7348,5517,237,2389,15,222,2374,208,470,146,62,324,0.0057,0.2744,0.0633,0.0063,0.7019,0.3106,
