experiment_group,context,method,seed,threshold_type,threshold_value,f1,precision,recall,fpr,roc_auc,pr_auc,eligible,n_epochs,train_time_s,notes,row_type,n_seeds,mean_f1,std_f1,min_f1,max_f1,mean_roc_auc,std_roc_auc,mean_pr_auc,std_pr_auc,mean_fpr,std_fpr
in_domain,CIC_in_domain,cnn1d,42,default,0.5,0.3198,0.9966,0.1904,0.0004,0.9964,0.9922,True,8.0,126.3,,per_seed,,,,,,,,,,,
in_domain,CIC_in_domain,cnn1d,42,val_tuned,0.402,0.3198,0.9964,0.1905,0.0005,0.9964,0.9922,True,8.0,126.3,,per_seed,,,,,,,,,,,
in_domain,CIC_in_domain,cnn1d,42,fixed_fpr,0.1846,0.3192,0.9856,0.1905,0.0019,0.9964,0.9922,True,8.0,126.3,,per_seed,,,,,,,,,,,
in_domain,CIC_in_domain,cnn1d,43,default,0.5,0.319,0.9815,0.1905,0.0024,0.9886,0.9746,True,7.0,103.5,,per_seed,,,,,,,,,,,
in_domain,CIC_in_domain,cnn1d,43,val_tuned,0.941,0.3198,0.9963,0.1905,0.0005,0.9886,0.9746,True,7.0,103.5,,per_seed,,,,,,,,,,,
in_domain,CIC_in_domain,cnn1d,43,fixed_fpr,0.1379,0.3214,0.974,0.1925,0.0035,0.9886,0.9746,True,7.0,103.5,,per_seed,,,,,,,,,,,
in_domain,CIC_in_domain,cnn1d,44,default,0.5,0.3214,0.9722,0.1925,0.0037,0.9875,0.9713,True,8.0,120.9,,per_seed,,,,,,,,,,,
in_domain,CIC_in_domain,cnn1d,44,val_tuned,0.999,0.3197,0.9946,0.1905,0.0007,0.9875,0.9713,False,8.0,120.9,degenerate_threshold,per_seed,,,,,,,,,,,
in_domain,CIC_in_domain,cnn1d,44,fixed_fpr,0.1417,0.3246,0.9125,0.1974,0.0127,0.9875,0.9713,True,8.0,120.9,,per_seed,,,,,,,,,,,
in_domain,CIC_in_domain,lstm,42,default,0.5,0.3179,0.9904,0.1894,0.0012,0.9817,0.9599,True,6.0,143.9,,per_seed,,,,,,,,,,,
in_domain,CIC_in_domain,lstm,42,val_tuned,0.065,0.3177,0.956,0.1905,0.0059,0.9817,0.9599,True,6.0,143.9,,per_seed,,,,,,,,,,,
in_domain,CIC_in_domain,lstm,42,fixed_fpr,0.0479,0.3166,0.9359,0.1905,0.0088,0.9817,0.9599,True,6.0,143.9,,per_seed,,,,,,,,,,,
in_domain,CIC_in_domain,lstm,43,default,0.5,0.3192,0.9899,0.1903,0.0013,0.9892,0.9754,True,6.0,123.2,,per_seed,,,,,,,,,,,
in_domain,CIC_in_domain,lstm,43,val_tuned,0.175,0.319,0.9828,0.1904,0.0022,0.9892,0.9754,True,6.0,123.2,,per_seed,,,,,,,,,,,
in_domain,CIC_in_domain,lstm,43,fixed_fpr,0.1425,0.317,0.9462,0.1904,0.0073,0.9892,0.9754,True,6.0,123.2,,per_seed,,,,,,,,,,,
in_domain,CIC_in_domain,lstm,44,default,0.5,0.319,0.9943,0.19,0.0007,0.9845,0.9652,True,6.0,104.6,,per_seed,,,,,,,,,,,
in_domain,CIC_in_domain,lstm,44,val_tuned,0.148,0.3192,0.9918,0.1902,0.0011,0.9845,0.9652,True,6.0,104.6,,per_seed,,,,,,,,,,,
in_domain,CIC_in_domain,lstm,44,fixed_fpr,0.0321,0.3167,0.94,0.1905,0.0082,0.9845,0.9652,True,6.0,104.6,,per_seed,,,,,,,,,,,
in_domain,IoT_in_domain,cnn1d,42,default,0.5,0.0011,0.0833,0.0005,0.008,0.7625,0.7394,True,13.0,1.6,,per_seed,,,,,,,,,,,
in_domain,IoT_in_domain,cnn1d,42,val_tuned,0.224,0.0019,0.1296,0.001,0.0085,0.7625,0.7394,True,13.0,1.6,,per_seed,,,,,,,,,,,
in_domain,IoT_in_domain,cnn1d,42,fixed_fpr,0.0437,0.035,0.6735,0.018,0.0116,0.7625,0.7394,True,13.0,1.6,,per_seed,,,,,,,,,,,
in_domain,IoT_in_domain,cnn1d,43,default,0.5,0.0022,0.1356,0.0011,0.0092,0.7658,0.7139,True,14.0,1.7,,per_seed,,,,,,,,,,,
in_domain,IoT_in_domain,cnn1d,43,val_tuned,0.893,0.0019,0.14,0.001,0.0078,0.7658,0.7139,True,14.0,1.7,,per_seed,,,,,,,,,,,
in_domain,IoT_in_domain,cnn1d,43,fixed_fpr,0.344,0.004,0.2174,0.002,0.0098,0.7658,0.7139,True,14.0,1.7,,per_seed,,,,,,,,,,,
in_domain,IoT_in_domain,cnn1d,44,default,0.5,0.0022,0.1429,0.0011,0.0087,0.8097,0.7441,True,9.0,1.0,,per_seed,,,,,,,,,,,
in_domain,IoT_in_domain,cnn1d,44,val_tuned,0.883,0.0019,0.1373,0.001,0.008,0.8097,0.7441,True,9.0,1.0,,per_seed,,,,,,,,,,,
in_domain,IoT_in_domain,cnn1d,44,fixed_fpr,0.774,0.0022,0.1481,0.0011,0.0083,0.8097,0.7441,True,9.0,1.0,,per_seed,,,,,,,,,,,
in_domain,IoT_in_domain,lstm,42,default,0.5,0.0055,0.0847,0.0029,0.0411,0.8811,0.8018,True,15.0,1.9,,per_seed,,,,,,,,,,,
in_domain,IoT_in_domain,lstm,42,val_tuned,0.995,0.0051,0.2879,0.0026,0.0085,0.8811,0.8018,False,15.0,1.9,degenerate_threshold,per_seed,,,,,,,,,,,
in_domain,IoT_in_domain,lstm,42,fixed_fpr,0.2598,0.006,0.0674,0.0031,0.0576,0.8811,0.8018,True,15.0,1.9,,per_seed,,,,,,,,,,,
in_domain,IoT_in_domain,lstm,43,default,0.5,0.007,0.0703,0.0037,0.0647,0.8679,0.7785,True,18.0,2.4,,per_seed,,,,,,,,,,,
in_domain,IoT_in_domain,lstm,43,val_tuned,0.904,0.0035,0.1193,0.0018,0.0174,0.8679,0.7785,True,18.0,2.4,,per_seed,,,,,,,,,,,
in_domain,IoT_in_domain,lstm,43,fixed_fpr,0.074,0.0104,0.0782,0.0056,0.0875,0.8679,0.7785,True,18.0,2.4,,per_seed,,,,,,,,,,,
in_domain,IoT_in_domain,lstm,44,default,0.5,0.0058,0.0769,0.003,0.0479,0.8908,0.8158,True,10.0,1.3,,per_seed,,,,,,,,,,,
in_domain,IoT_in_domain,lstm,44,val_tuned,0.112,0.0063,0.0784,0.0033,0.0511,0.8908,0.8158,True,10.0,1.3,,per_seed,,,,,,,,,,,
in_domain,IoT_in_domain,lstm,44,fixed_fpr,0.0138,0.5707,0.8628,0.4264,0.0903,0.8908,0.8158,True,10.0,1.3,,per_seed,,,,,,,,,,,
in_domain,UNSW_in_domain,cnn1d,42,default,0.5,0.8033,0.6718,0.9988,0.0293,0.991,0.8198,True,9.0,12.2,,per_seed,,,,,,,,,,,
in_domain,UNSW_in_domain,cnn1d,42,val_tuned,0.823,0.8134,0.6875,0.9958,0.0272,0.991,0.8198,True,9.0,12.2,,per_seed,,,,,,,,,,,
in_domain,UNSW_in_domain,cnn1d,42,fixed_fpr,0.9893,0.5316,0.8039,0.3971,0.0058,0.991,0.8198,True,9.0,12.2,,per_seed,,,,,,,,,,,
in_domain,UNSW_in_domain,cnn1d,43,default,0.5,0.8139,0.6865,0.9991,0.0274,0.9926,0.8524,True,13.0,17.4,,per_seed,,,,,,,,,,,
in_domain,UNSW_in_domain,cnn1d,43,val_tuned,0.695,0.826,0.7042,0.9988,0.0252,0.9926,0.8524,True,13.0,17.4,,per_seed,,,,,,,,,,,
in_domain,UNSW_in_domain,cnn1d,43,fixed_fpr,0.9851,0.6191,0.8253,0.4954,0.0063,0.9926,0.8524,True,13.0,17.4,,per_seed,,,,,,,,,,,
in_domain,UNSW_in_domain,cnn1d,44,default,0.5,0.807,0.6772,0.9984,0.0286,0.9919,0.8314,True,10.0,13.5,,per_seed,,,,,,,,,,,
in_domain,UNSW_in_domain,cnn1d,44,val_tuned,0.816,0.8275,0.7079,0.9958,0.0247,0.9919,0.8314,True,10.0,13.5,,per_seed,,,,,,,,,,,
in_domain,UNSW_in_domain,cnn1d,44,fixed_fpr,0.9894,0.5979,0.8231,0.4695,0.0061,0.9919,0.8314,True,10.0,13.5,,per_seed,,,,,,,,,,,
in_domain,UNSW_in_domain,lstm,42,default,0.5,0.8181,0.6933,0.9977,0.0265,0.991,0.8339,True,29.0,47.3,,per_seed,,,,,,,,,,,
in_domain,UNSW_in_domain,lstm,42,val_tuned,0.917,0.8282,0.7092,0.9951,0.0245,0.991,0.8339,True,29.0,47.3,,per_seed,,,,,,,,,,,
in_domain,UNSW_in_domain,lstm,42,fixed_fpr,0.9828,0.614,0.7994,0.4984,0.0075,0.991,0.8339,True,29.0,47.3,,per_seed,,,,,,,,,,,
in_domain,UNSW_in_domain,lstm,43,default,0.5,0.8101,0.682,0.9977,0.0279,0.991,0.8339,True,25.0,39.2,,per_seed,,,,,,,,,,,
in_domain,UNSW_in_domain,lstm,43,val_tuned,0.937,0.8007,0.7332,0.8819,0.0193,0.991,0.8339,True,25.0,39.2,,per_seed,,,,,,,,,,,
in_domain,UNSW_in_domain,lstm,43,fixed_fpr,0.9718,0.6148,0.8124,0.4945,0.0069,0.991,0.8339,True,25.0,39.2,,per_seed,,,,,,,,,,,
in_domain,UNSW_in_domain,lstm,44,default,0.5,0.7778,0.638,0.9958,0.0339,0.9902,0.8126,True,10.0,15.9,,per_seed,,,,,,,,,,,
in_domain,UNSW_in_domain,lstm,44,val_tuned,0.902,0.8189,0.6983,0.9899,0.0257,0.9902,0.8126,True,10.0,15.9,,per_seed,,,,,,,,,,,
in_domain,UNSW_in_domain,lstm,44,fixed_fpr,0.9661,0.6497,0.7657,0.5642,0.0104,0.9902,0.8126,True,10.0,15.9,,per_seed,,,,,,,,,,,
cross_domain,CIC->IoT,cnn1d,42,default,0.5,0.003,0.6875,0.0015,0.0009,0.8698,0.8695,True,8.0,98.3,,per_seed,,,,,,,,,,,
cross_domain,CIC->IoT,cnn1d,42,val_tuned,0.687,0.0027,0.6667,0.0014,0.0009,0.8698,0.8695,True,8.0,98.3,,per_seed,,,,,,,,,,,
cross_domain,CIC->IoT,cnn1d,42,fixed_fpr,0.0966,0.2292,0.9532,0.1302,0.0085,0.8698,0.8695,True,8.0,98.3,,per_seed,,,,,,,,,,,
cross_domain,CIC->IoT,cnn1d,43,default,0.5,0.0034,0.0625,0.0018,0.0353,0.944,0.886,True,7.0,82.0,,per_seed,,,,,,,,,,,
cross_domain,CIC->IoT,cnn1d,43,val_tuned,0.833,0.0008,0.0183,0.0004,0.0292,0.944,0.886,True,7.0,82.0,,per_seed,,,,,,,,,,,
cross_domain,CIC->IoT,cnn1d,43,fixed_fpr,0.1345,0.7494,0.9553,0.6165,0.0384,0.944,0.886,True,7.0,82.0,,per_seed,,,,,,,,,,,
cross_domain,CIC->IoT,cnn1d,44,default,0.5,0.0027,0.0552,0.0014,0.031,0.8181,0.7591,True,10.0,117.1,,per_seed,,,,,,,,,,,
cross_domain,CIC->IoT,cnn1d,44,val_tuned,0.994,0.0003,0.0061,0.0001,0.0297,0.8181,0.7591,False,10.0,117.1,degenerate_threshold,per_seed,,,,,,,,,,,
cross_domain,CIC->IoT,cnn1d,44,fixed_fpr,0.0542,0.0636,0.4148,0.0344,0.0647,0.8181,0.7591,True,10.0,117.1,,per_seed,,,,,,,,,,,
cross_domain,CIC->IoT,lstm,42,default,0.5,0.0008,1.0,0.0004,0.0,0.7815,0.7747,True,6.0,88.3,,per_seed,,,,,,,,,,,
cross_domain,CIC->IoT,lstm,42,val_tuned,0.065,0.0221,1.0,0.0112,0.0,0.7815,0.7747,True,6.0,88.3,,per_seed,,,,,,,,,,,
cross_domain,CIC->IoT,lstm,42,fixed_fpr,0.0479,0.0579,0.991,0.0298,0.0004,0.7815,0.7747,True,6.0,88.3,,per_seed,,,,,,,,,,,
cross_domain,CIC->IoT,lstm,43,default,0.5,0.0,0.0,0.0,0.0,0.7577,0.7085,True,6.0,89.4,,per_seed,,,,,,,,,,,
cross_domain,CIC->IoT,lstm,43,val_tuned,0.175,0.0711,0.9963,0.0369,0.0002,0.7577,0.7085,True,6.0,89.4,,per_seed,,,,,,,,,,,
cross_domain,CIC->IoT,lstm,43,fixed_fpr,0.1425,0.0739,0.9965,0.0384,0.0002,0.7577,0.7085,True,6.0,89.4,,per_seed,,,,,,,,,,,
cross_domain,CIC->IoT,lstm,44,default,0.5,0.0,0.0,0.0,0.0002,0.9375,0.8961,True,6.0,89.6,,per_seed,,,,,,,,,,,
cross_domain,CIC->IoT,lstm,44,val_tuned,0.148,0.0,0.0,0.0,0.0002,0.9375,0.8961,True,6.0,89.6,,per_seed,,,,,,,,,,,
cross_domain,CIC->IoT,lstm,44,fixed_fpr,0.0321,0.0718,0.8094,0.0376,0.0118,0.9375,0.8961,True,6.0,89.6,,per_seed,,,,,,,,,,,
cross_domain,UNSW->IoT,cnn1d,42,default,0.5,0.7719,0.7047,0.8533,0.4763,0.7845,0.775,True,9.0,14.0,,per_seed,,,,,,,,,,,
cross_domain,UNSW->IoT,cnn1d,42,val_tuned,0.805,0.8453,0.852,0.8386,0.1939,0.7845,0.775,True,9.0,14.0,,per_seed,,,,,,,,,,,
cross_domain,UNSW->IoT,cnn1d,42,fixed_fpr,0.9849,0.8188,0.901,0.7504,0.1098,0.7845,0.775,True,9.0,14.0,,per_seed,,,,,,,,,,,
cross_domain,UNSW->IoT,cnn1d,43,default,0.5,0.7456,0.7382,0.7531,0.3558,0.816,0.8147,True,13.0,20.0,,per_seed,,,,,,,,,,,
cross_domain,UNSW->IoT,cnn1d,43,val_tuned,0.803,0.7891,0.8933,0.7066,0.1124,0.816,0.8147,True,13.0,20.0,,per_seed,,,,,,,,,,,
cross_domain,UNSW->IoT,cnn1d,43,fixed_fpr,0.9895,0.0078,0.4265,0.0039,0.0071,0.816,0.8147,True,13.0,20.0,,per_seed,,,,,,,,,,,
cross_domain,UNSW->IoT,cnn1d,44,default,0.5,0.795,0.8147,0.7761,0.2351,0.8675,0.8576,True,10.0,15.4,,per_seed,,,,,,,,,,,
cross_domain,UNSW->IoT,cnn1d,44,val_tuned,0.726,0.8199,0.9175,0.7412,0.0888,0.8675,0.8576,True,10.0,15.4,,per_seed,,,,,,,,,,,
cross_domain,UNSW->IoT,cnn1d,44,fixed_fpr,0.9883,0.0046,0.25,0.0023,0.0092,0.8675,0.8576,True,10.0,15.4,,per_seed,,,,,,,,,,,
cross_domain,UNSW->IoT,lstm,42,default,0.5,0.6843,0.5555,0.8909,0.9496,0.4808,0.5815,True,29.0,48.4,,per_seed,,,,,,,,,,,
cross_domain,UNSW->IoT,lstm,42,val_tuned,0.917,0.4771,0.4718,0.4826,0.7196,0.4808,0.5815,True,29.0,48.4,,per_seed,,,,,,,,,,,
cross_domain,UNSW->IoT,lstm,42,fixed_fpr,0.9828,0.1965,0.5448,0.1199,0.1334,0.4808,0.5815,True,29.0,48.4,,per_seed,,,,,,,,,,,
cross_domain,UNSW->IoT,lstm,43,default,0.5,0.4439,0.406,0.4895,0.954,0.0792,0.3775,True,25.0,39.2,,per_seed,,,,,,,,,,,
cross_domain,UNSW->IoT,lstm,43,val_tuned,0.937,0.1155,0.135,0.1008,0.8603,0.0792,0.3775,True,25.0,39.2,,per_seed,,,,,,,,,,,
cross_domain,UNSW->IoT,lstm,43,fixed_fpr,0.9718,0.0077,0.0686,0.0041,0.0738,0.0792,0.3775,True,25.0,39.2,,per_seed,,,,,,,,,,,
cross_domain,UNSW->IoT,lstm,44,default,0.5,0.8046,0.7032,0.9401,0.5284,0.6015,0.5943,True,10.0,15.4,,per_seed,,,,,,,,,,,
cross_domain,UNSW->IoT,lstm,44,val_tuned,0.902,0.3494,0.5357,0.2593,0.2993,0.6015,0.5943,True,10.0,15.4,,per_seed,,,,,,,,,,,
cross_domain,UNSW->IoT,lstm,44,fixed_fpr,0.9661,0.0243,0.5796,0.0124,0.012,0.6015,0.5943,True,10.0,15.4,,per_seed,,,,,,,,,,,
cross_domain,UNSW->CIC,cnn1d,42,default,0.5,0.0353,0.0401,0.0316,0.5071,0.2262,0.2809,True,10.0,13.8,,per_seed,,,,,,,,,,,
cross_domain,UNSW->CIC,cnn1d,42,val_tuned,0.793,0.0216,0.0305,0.0167,0.3562,0.2262,0.2809,True,10.0,13.8,,per_seed,,,,,,,,,,,
cross_domain,UNSW->CIC,cnn1d,42,fixed_fpr,0.9905,0.0016,0.025,0.0008,0.0221,0.2262,0.2809,False,10.0,13.8,degenerate_threshold,per_seed,,,,,,,,,,,
cross_domain,UNSW->CIC,cnn1d,43,default,0.5,0.0689,0.0724,0.0658,0.5656,0.2585,0.2979,True,13.0,18.1,,per_seed,,,,,,,,,,,
cross_domain,UNSW->CIC,cnn1d,43,val_tuned,0.829,0.0582,0.0815,0.0452,0.3422,0.2585,0.2979,True,13.0,18.1,,per_seed,,,,,,,,,,,
cross_domain,UNSW->CIC,cnn1d,43,fixed_fpr,0.9858,0.0427,0.3183,0.0229,0.0329,0.2585,0.2979,True,13.0,18.1,,per_seed,,,,,,,,,,,
cross_domain,UNSW->CIC,cnn1d,44,default,0.5,0.1181,0.1514,0.0968,0.3644,0.3424,0.3556,True,16.0,25.8,,per_seed,,,,,,,,,,,
cross_domain,UNSW->CIC,cnn1d,44,val_tuned,0.726,0.1214,0.2157,0.0845,0.2062,0.3424,0.3556,True,16.0,25.8,,per_seed,,,,,,,,,,,
cross_domain,UNSW->CIC,cnn1d,44,fixed_fpr,0.9832,0.1105,0.5841,0.061,0.0292,0.3424,0.3556,True,16.0,25.8,,per_seed,,,,,,,,,,,
cross_domain,UNSW->CIC,lstm,42,default,0.5,0.6404,0.4992,0.8932,0.6015,0.431,0.3412,True,29.0,49.1,,per_seed,,,,,,,,,,,
cross_domain,UNSW->CIC,lstm,42,val_tuned,0.917,0.0906,0.1051,0.0797,0.4555,0.431,0.3412,True,29.0,49.1,,per_seed,,,,,,,,,,,
cross_domain,UNSW->CIC,lstm,42,fixed_fpr,0.9828,0.0001,0.0003,0.0001,0.1597,0.431,0.3412,True,29.0,49.1,,per_seed,,,,,,,,,,,
cross_domain,UNSW->CIC,lstm,43,default,0.5,0.6074,0.484,0.8153,0.5833,0.6517,0.4742,True,25.0,43.5,,per_seed,,,,,,,,,,,
cross_domain,UNSW->CIC,lstm,43,val_tuned,0.937,0.7071,0.634,0.7993,0.3097,0.6517,0.4742,True,25.0,43.5,,per_seed,,,,,,,,,,,
cross_domain,UNSW->CIC,lstm,43,fixed_fpr,0.9718,0.0,0.0,0.0,0.1671,0.6517,0.4742,True,25.0,43.5,,per_seed,,,,,,,,,,,
cross_domain,UNSW->CIC,lstm,44,default,0.5,0.6408,0.5335,0.802,0.4707,0.7887,0.6061,True,10.0,18.6,,per_seed,,,,,,,,,,,
cross_domain,UNSW->CIC,lstm,44,val_tuned,0.902,0.7117,0.6414,0.7993,0.3,0.7887,0.6061,True,10.0,18.6,,per_seed,,,,,,,,,,,
