eval_block,source_dataset,target_dataset,method,feature_name,feature_importance_rank,feature_rank_type,source_reference_split,target_split,ks_stat,wasserstein,psi,source_mean,target_mean,source_p50,target_p50,source_p90,target_p90,interpretation
cic_to_iot,CIC-IDS2017,IoT-23,lr,duration_s,15,other,source_test,target_test,0.3751,8.6171,,8.5515,12.3358,0.0235,2.1518,11.8217,32.472,ks_drift_high
cic_to_iot,CIC-IDS2017,IoT-23,lr,packet_count_total,6,top10_by_importance,source_test,target_test,0.1105,39.2446,,18.5562,46.8128,4.0,4.0,22.0,14.0,[TOP10]ks_drift_low
cic_to_iot,CIC-IDS2017,IoT-23,lr,bytes_total,2,top10_by_importance,source_test,target_test,0.2495,32451.2274,,15524.8477,34017.4766,316.0,240.0,12119.0,1083.0,[TOP10]ks_drift_moderate
cic_to_iot,CIC-IDS2017,IoT-23,lr,packet_count_fwd,18,other,source_test,target_test,0.3749,27.5721,,9.7627,30.4825,2.0,1.0,11.0,6.0,ks_drift_high
cic_to_iot,CIC-IDS2017,IoT-23,lr,packet_count_bwd,1,top10_by_importance,source_test,target_test,0.2405,13.3002,,8.7934,16.3304,2.0,4.0,11.0,8.0,[TOP10]ks_drift_moderate
cic_to_iot,CIC-IDS2017,IoT-23,lr,bytes_fwd,4,top10_by_importance,source_test,target_test,0.3938,28412.3161,,9520.2139,30586.1602,138.0,76.0,1698.0,563.0,[TOP10]ks_drift_high
cic_to_iot,CIC-IDS2017,IoT-23,lr,bytes_bwd,3,top10_by_importance,source_test,target_test,0.221,6367.5405,,6004.6353,3431.3115,130.0,240.0,9362.0,507.0,[TOP10]ks_drift_moderate
cic_to_iot,CIC-IDS2017,IoT-23,lr,protocol,10,top10_by_importance,source_test,target_test,0.0168,0.185,,10.3191,10.1341,6.0,6.0,17.0,17.0,[TOP10]ks_drift_low
cic_to_iot,CIC-IDS2017,IoT-23,lr,is_tcp,11,other,source_test,target_test,0.0168,0.0168,,0.6074,0.6242,1.0,1.0,1.0,1.0,ks_drift_low
cic_to_iot,CIC-IDS2017,IoT-23,lr,is_udp,12,other,source_test,target_test,0.0168,0.0168,,0.3926,0.3758,0.0,0.0,1.0,1.0,ks_drift_low
cic_to_iot,CIC-IDS2017,IoT-23,lr,bytes_per_packet,8,top10_by_importance,source_test,target_test,0.4867,111.9323,,187.9939,84.965,89.0,73.875,583.0792,77.6923,[TOP10]ks_drift_high
