eval_block,source_dataset,target_dataset,regime,fusion_name,component_methods,threshold_type,threshold_value_or_mode,score_normalization_rule,eligible,f1,precision,recall,fpr,roc_auc,pr_auc,best_single_method_same_tier,best_single_f1_same_tier,best_single_recall_same_tier,best_single_fpr_same_tier,delta_f1_vs_best_single,delta_recall_vs_best_single,delta_fpr_vs_best_single,interpretable_gain_type,notes
in_domain_cic,CIC-IDS2017,CIC-IDS2017,in_domain,OR,lr+xgb+lstm,default,frozen_binary,binary_prediction,True,0.3099,0.7749,0.1937,0.0378,,,lstm,0.3199,0.1905,0.0005,-0.01,0.0032,0.0373,mostly_fp_relaxation,
in_domain_cic,CIC-IDS2017,CIC-IDS2017,in_domain,AND,lr+xgb+lstm,default,frozen_binary,binary_prediction,True,0.1256,0.9973,0.067,0.0001,,,lstm,0.3199,0.1905,0.0005,-0.1943,-0.1235,-0.0004,tradeoff_not_worth_it,
in_domain_cic,CIC-IDS2017,CIC-IDS2017,in_domain,majority_vote,lr+xgb+lstm,default,frozen_binary,binary_prediction,True,0.3199,0.997,0.1905,0.0004,,,lstm,0.3199,0.1905,0.0005,0.0,0.0,-0.0001,no_material_gain,
in_domain_cic,CIC-IDS2017,CIC-IDS2017,in_domain,score_average,lr+xgb+lstm,default,0.5,raw_prob_avg_thr0.5,True,0.3199,0.997,0.1905,0.0004,,,lstm,0.3199,0.1905,0.0005,0.0,0.0,-0.0001,no_material_gain,
in_domain_cic,CIC-IDS2017,CIC-IDS2017,in_domain,OR,lr+xgb+lstm,val_tuned,frozen_binary,binary_prediction,True,0.3211,0.9375,0.1937,0.0087,,,xgb,0.3212,0.1937,0.0085,-0.0001,0.0,0.0002,no_material_gain,
in_domain_cic,CIC-IDS2017,CIC-IDS2017,in_domain,AND,lr+xgb+lstm,val_tuned,frozen_binary,binary_prediction,True,0.0016,0.9935,0.0008,0.0,,,xgb,0.3212,0.1937,0.0085,-0.3196,-0.1929,-0.0085,tradeoff_not_worth_it,
in_domain_cic,CIC-IDS2017,CIC-IDS2017,in_domain,majority_vote,lr+xgb+lstm,val_tuned,frozen_binary,binary_prediction,True,0.3199,0.9972,0.1905,0.0004,,,xgb,0.3212,0.1937,0.0085,-0.0013,-0.0032,-0.0081,no_material_gain,
in_domain_cic,CIC-IDS2017,CIC-IDS2017,in_domain,OR,lr+xgb+lstm,fixed_fpr,frozen_binary,binary_prediction,True,0.3144,0.8329,0.1938,0.0261,,,xgb,0.3205,0.1937,0.0103,-0.0061,0.0001,0.0158,no_material_gain,
in_domain_cic,CIC-IDS2017,CIC-IDS2017,in_domain,AND,lr+xgb+lstm,fixed_fpr,frozen_binary,binary_prediction,True,0.3199,0.9966,0.1905,0.0004,,,xgb,0.3205,0.1937,0.0103,-0.0006,-0.0032,-0.0099,tradeoff_not_worth_it,
in_domain_cic,CIC-IDS2017,CIC-IDS2017,in_domain,majority_vote,lr+xgb+lstm,fixed_fpr,frozen_binary,binary_prediction,True,0.3192,0.9837,0.1905,0.0021,,,xgb,0.3205,0.1937,0.0103,-0.0013,-0.0032,-0.0082,no_material_gain,
