direction,target_dataset,method,threshold_type,target_group,n_flows,n_attacks,recall,precision,notes
CIC+IoT->UNSW,UNSW-NB15,lr,default,,115259,0,0.0,0.0,
CIC+IoT->UNSW,UNSW-NB15,lr,default,Analysis,56,56,0.9821,1.0,
CIC+IoT->UNSW,UNSW-NB15,lr,default,Backdoor,37,37,0.5676,1.0,
CIC+IoT->UNSW,UNSW-NB15,lr,default,DoS,389,389,0.3136,1.0,
CIC+IoT->UNSW,UNSW-NB15,lr,default,Exploits,2674,2674,0.2165,1.0,
CIC+IoT->UNSW,UNSW-NB15,lr,default,Fuzzers,1871,1871,0.2833,1.0,
CIC+IoT->UNSW,UNSW-NB15,lr,default,Generic,456,456,0.193,1.0,
CIC+IoT->UNSW,UNSW-NB15,lr,default,Reconnaissance,1255,1255,0.0024,1.0,
CIC+IoT->UNSW,UNSW-NB15,lr,default,Shellcode,160,160,0.1187,1.0,
CIC+IoT->UNSW,UNSW-NB15,lr,default,Worms,18,18,0.0556,1.0,
CIC+IoT->UNSW,UNSW-NB15,xgb,default,,115259,0,0.0,0.0,
CIC+IoT->UNSW,UNSW-NB15,xgb,default,Analysis,56,56,0.0,0.0,
CIC+IoT->UNSW,UNSW-NB15,xgb,default,Backdoor,37,37,0.0,0.0,
CIC+IoT->UNSW,UNSW-NB15,xgb,default,DoS,389,389,0.0,0.0,
CIC+IoT->UNSW,UNSW-NB15,xgb,default,Exploits,2674,2674,0.0,0.0,
CIC+IoT->UNSW,UNSW-NB15,xgb,default,Fuzzers,1871,1871,0.0,0.0,
CIC+IoT->UNSW,UNSW-NB15,xgb,default,Generic,456,456,0.0,0.0,
CIC+IoT->UNSW,UNSW-NB15,xgb,default,Reconnaissance,1255,1255,0.0,0.0,
CIC+IoT->UNSW,UNSW-NB15,xgb,default,Shellcode,160,160,0.0,0.0,
CIC+IoT->UNSW,UNSW-NB15,xgb,default,Worms,18,18,0.0,0.0,
CIC+IoT->UNSW,UNSW-NB15,lstm,default,,115259,0,0.0,0.0,
CIC+IoT->UNSW,UNSW-NB15,lstm,default,Analysis,56,56,0.0,0.0,
CIC+IoT->UNSW,UNSW-NB15,lstm,default,Backdoor,37,37,0.0,0.0,
CIC+IoT->UNSW,UNSW-NB15,lstm,default,DoS,389,389,0.0,0.0,
CIC+IoT->UNSW,UNSW-NB15,lstm,default,Exploits,2674,2674,0.0,0.0,
CIC+IoT->UNSW,UNSW-NB15,lstm,default,Fuzzers,1871,1871,0.0,0.0,
CIC+IoT->UNSW,UNSW-NB15,lstm,default,Generic,456,456,0.0,0.0,
CIC+IoT->UNSW,UNSW-NB15,lstm,default,Reconnaissance,1255,1255,0.0,0.0,
CIC+IoT->UNSW,UNSW-NB15,lstm,default,Shellcode,160,160,0.0,0.0,
CIC+IoT->UNSW,UNSW-NB15,lstm,default,Worms,18,18,0.0,0.0,
CIC+UNSW->IoT,IoT-23,lr,default,-,5517,0,0.0,0.0,
CIC+UNSW->IoT,IoT-23,lr,default,C&C,7031,7031,0.7835,1.0,
CIC+UNSW->IoT,IoT-23,lr,default,DDoS,211,211,0.455,1.0,
CIC+UNSW->IoT,IoT-23,lr,default,PartOfAHorizontalPortScan,106,106,0.0283,1.0,
CIC+UNSW->IoT,IoT-23,xgb,default,-,5517,0,0.0,0.0,
CIC+UNSW->IoT,IoT-23,xgb,default,C&C,7031,7031,0.0001,1.0,
CIC+UNSW->IoT,IoT-23,xgb,default,DDoS,211,211,0.0095,1.0,
CIC+UNSW->IoT,IoT-23,xgb,default,PartOfAHorizontalPortScan,106,106,0.0094,1.0,
CIC+UNSW->IoT,IoT-23,lstm,default,-,5517,3246,0.0684,0.9694,
CIC+UNSW->IoT,IoT-23,lstm,default,C&C,7031,4102,0.0648,0.9963,
CIC+UNSW->IoT,IoT-23,lstm,default,DDoS,211,0,0.0,0.0,
CIC+UNSW->IoT,IoT-23,lstm,default,PartOfAHorizontalPortScan,106,0,0.0,0.0,
IoT+UNSW->CIC,CIC-IDS2017,lr,default,benign,294077,0,0.0,0.0,
IoT+UNSW->CIC,CIC-IDS2017,lr,default,botnet_malware,1221,1221,0.9427,1.0,
IoT+UNSW->CIC,CIC-IDS2017,lr,default,dos_ddos,37614,37614,0.0,0.0,
IoT+UNSW->CIC,CIC-IDS2017,lr,default,reconnaissance_scan,158543,158543,0.9975,1.0,
IoT+UNSW->CIC,CIC-IDS2017,xgb,default,benign,294077,0,0.0,0.0,
IoT+UNSW->CIC,CIC-IDS2017,xgb,default,botnet_malware,1221,1221,0.0156,1.0,
IoT+UNSW->CIC,CIC-IDS2017,xgb,default,dos_ddos,37614,37614,0.9924,1.0,
IoT+UNSW->CIC,CIC-IDS2017,xgb,default,reconnaissance_scan,158543,158543,0.0004,1.0,
IoT+UNSW->CIC,CIC-IDS2017,lstm,default,benign,294077,0,0.0,0.0,
IoT+UNSW->CIC,CIC-IDS2017,lstm,default,botnet_malware,1221,1221,0.0016,1.0,
IoT+UNSW->CIC,CIC-IDS2017,lstm,default,dos_ddos,37614,37614,0.3869,1.0,
IoT+UNSW->CIC,CIC-IDS2017,lstm,default,reconnaissance_scan,158543,158543,0.0,0.0,
