benign_dataset,source_dataset,method,threshold_type,pattern_rank,pattern_type,protocol,dst_port_or_service,count,share_of_alerts,notes
hw1_part2_pcap,CIC-IDS2017,lr,default,1,protocol,TCP,any,179,0.9781,
hw1_part2_pcap,CIC-IDS2017,lr,default,2,protocol,UDP,any,4,0.0219,
hw1_part2_pcap,CIC-IDS2017,lr,default,3,dst_port,any,ipp,50,0.2732,
hw1_part2_pcap,CIC-IDS2017,lr,default,4,dst_port,any,http,22,0.1202,
hw1_part2_pcap,CIC-IDS2017,lr,default,5,dst_port,any,ssh,11,0.0601,
hw1_part2_pcap,CIC-IDS2017,lr,default,6,dst_port,any,port49504,10,0.0546,
hw1_part2_pcap,CIC-IDS2017,lr,default,7,dst_port,any,nfs,9,0.0492,
hw1_part2_pcap,CIC-IDS2017,lr,default,8,dst_port,any,port54436,6,0.0328,
hw1_part2_pcap,CIC-IDS2017,lr,default,9,dst_port,any,port54414,6,0.0328,
hw1_part2_pcap,CIC-IDS2017,lr,default,10,dst_port,any,port49352,5,0.0273,
hw1_part2_pcap,CIC-IDS2017,lr,default,11,dst_port,any,port32778,4,0.0219,
hw1_part2_pcap,CIC-IDS2017,lr,default,12,dst_port,any,port49589,3,0.0164,
hw1_part2_pcap,CIC-IDS2017,lr,default,13,bytes_band,any,10KB-100KB,76,0.4153,
hw1_part2_pcap,CIC-IDS2017,lr,default,14,bytes_band,any,100B-1KB,43,0.235,
hw1_part2_pcap,CIC-IDS2017,lr,default,15,bytes_band,any,>100KB,27,0.1475,
hw1_part2_pcap,CIC-IDS2017,lr,default,16,bytes_band,any,<100B,21,0.1148,
hw1_part2_pcap,CIC-IDS2017,lr,default,17,bytes_band,any,1KB-10KB,16,0.0874,
hw1_part2_pcap,CIC-IDS2017,rf,default,1,protocol,TCP,any,5,0.625,
hw1_part2_pcap,CIC-IDS2017,rf,default,2,protocol,UDP,any,3,0.375,
hw1_part2_pcap,CIC-IDS2017,rf,default,3,dst_port,any,ftp,5,0.625,
hw1_part2_pcap,CIC-IDS2017,rf,default,4,dst_port,any,dns,3,0.375,
hw1_part2_pcap,CIC-IDS2017,rf,default,5,bytes_band,any,<100B,8,1.0,
hw1_part2_pcap,CIC-IDS2017,rf,default,6,bytes_band,any,100B-1KB,0,0.0,
hw1_part2_pcap,CIC-IDS2017,rf,default,7,bytes_band,any,1KB-10KB,0,0.0,
hw1_part2_pcap,CIC-IDS2017,rf,default,8,bytes_band,any,10KB-100KB,0,0.0,
hw1_part2_pcap,CIC-IDS2017,rf,default,9,bytes_band,any,>100KB,0,0.0,
hw1_part2_pcap,CIC-IDS2017,xgb,default,1,protocol,TCP,any,6,0.8571,
hw1_part2_pcap,CIC-IDS2017,xgb,default,2,protocol,UDP,any,1,0.1429,
hw1_part2_pcap,CIC-IDS2017,xgb,default,3,dst_port,any,ftp,5,0.7143,
hw1_part2_pcap,CIC-IDS2017,xgb,default,4,dst_port,any,port7597,1,0.1429,
hw1_part2_pcap,CIC-IDS2017,xgb,default,5,dst_port,any,dns,1,0.1429,
hw1_part2_pcap,CIC-IDS2017,xgb,default,6,bytes_band,any,<100B,6,0.8571,
hw1_part2_pcap,CIC-IDS2017,xgb,default,7,bytes_band,any,10KB-100KB,1,0.1429,
hw1_part2_pcap,CIC-IDS2017,xgb,default,8,bytes_band,any,100B-1KB,0,0.0,
hw1_part2_pcap,CIC-IDS2017,xgb,default,9,bytes_band,any,1KB-10KB,0,0.0,
hw1_part2_pcap,CIC-IDS2017,xgb,default,10,bytes_band,any,>100KB,0,0.0,
hw1_part2_pcap,CIC-IDS2017,cnn1d,default,1,protocol,TCP,any,842,0.9988,
hw1_part2_pcap,CIC-IDS2017,cnn1d,default,2,protocol,UDP,any,1,0.0012,
hw1_part2_pcap,CIC-IDS2017,cnn1d,default,3,dst_port,any,http,295,0.3499,
hw1_part2_pcap,CIC-IDS2017,cnn1d,default,4,dst_port,any,ipp,174,0.2064,
hw1_part2_pcap,CIC-IDS2017,cnn1d,default,5,dst_port,any,port515,59,0.07,
hw1_part2_pcap,CIC-IDS2017,cnn1d,default,6,dst_port,any,port897,31,0.0368,
hw1_part2_pcap,CIC-IDS2017,cnn1d,default,7,dst_port,any,port993,29,0.0344,
hw1_part2_pcap,CIC-IDS2017,cnn1d,default,8,dst_port,any,ssh,27,0.032,
hw1_part2_pcap,CIC-IDS2017,cnn1d,default,9,dst_port,any,port111,16,0.019,
