eval_block,target_dataset,source_dataset,method,threshold_type,threshold_value,subset_type,subset_definition,n_samples,n_attacks,n_benign,f1,recall,precision,fpr,roc_auc,delta_f1_vs_full,delta_recall_vs_full,interpretation
cic_to_iot,IoT-23,CIC-IDS2017,lr,default,0.5,full_test,all 12865 flows,12865,7348,5517,0.8921,0.8153,0.9849,0.0167,0.9827,0.0,0.0,baseline
cic_to_iot,IoT-23,CIC-IDS2017,lr,default,0.5,tcp_only,TCP flows only (protocol=6),8030,7346,684,0.8922,0.8155,0.9849,0.1345,0.8628,0.0001,0.0002,protocol_neutral
cic_to_iot,IoT-23,CIC-IDS2017,lr,default,0.5,udp_only,UDP flows only (protocol=17),4835,2,4833,0.0,0.0,0.0,0.0,0.0,-0.8921,-0.8153,protocol_dominant_recall_loss
cic_to_iot,IoT-23,CIC-IDS2017,lr,default,0.5,high_vol_atk_q75,atk: bytes_total >= Q75=360,9369,3852,5517,0.9474,0.9216,0.9747,0.0167,0.9887,0.0553,0.1063,high_volume_easier
cic_to_iot,IoT-23,CIC-IDS2017,lr,default,0.5,high_pps_atk_q75,atk: pps >= Q75=1.97,7354,1837,5517,0.6779,0.5384,0.9149,0.0167,0.9683,-0.2142,-0.2769,high_volume_harder
cic_to_iot,IoT-23,CIC-IDS2017,lr,fixed_fpr,0.726264,full_test,all 12865 flows,12865,7348,5517,0.825,0.7062,0.992,0.0076,0.9827,0.0,0.0,baseline
cic_to_iot,IoT-23,CIC-IDS2017,lr,fixed_fpr,0.726264,tcp_only,TCP flows only (protocol=6),8030,7346,684,0.8252,0.7064,0.992,0.0614,0.8628,0.0002,0.0002,protocol_neutral
cic_to_iot,IoT-23,CIC-IDS2017,lr,fixed_fpr,0.726264,udp_only,UDP flows only (protocol=17),4835,2,4833,0.0,0.0,0.0,0.0,0.0,-0.825,-0.7062,protocol_dominant_recall_loss
cic_to_iot,IoT-23,CIC-IDS2017,lr,fixed_fpr,0.726264,high_vol_atk_q75,atk: bytes_total >= Q75=360,9369,3852,5517,0.8278,0.7139,0.985,0.0076,0.9887,0.0028,0.0077,high_volume_neutral
cic_to_iot,IoT-23,CIC-IDS2017,lr,fixed_fpr,0.726264,high_pps_atk_q75,atk: pps >= Q75=1.97,7354,1837,5517,0.4944,0.3359,0.9363,0.0076,0.9683,-0.3306,-0.3703,high_volume_harder
cic_to_iot,IoT-23,CIC-IDS2017,xgb,default,0.5,full_test,all 12865 flows,12865,7348,5517,0.0,0.0,0.0,0.0002,0.8755,0.0,0.0,baseline
cic_to_iot,IoT-23,CIC-IDS2017,xgb,default,0.5,tcp_only,TCP flows only (protocol=6),8030,7346,684,0.0,0.0,0.0,0.0015,0.8047,0.0,0.0,protocol_neutral
cic_to_iot,IoT-23,CIC-IDS2017,xgb,default,0.5,udp_only,UDP flows only (protocol=17),4835,2,4833,0.0,0.0,0.0,0.0,0.8151,0.0,0.0,protocol_neutral
cic_to_iot,IoT-23,CIC-IDS2017,xgb,default,0.5,high_vol_atk_q75,atk: bytes_total >= Q75=360,9369,3852,5517,0.0,0.0,0.0,0.0002,0.9704,0.0,0.0,high_volume_neutral
cic_to_iot,IoT-23,CIC-IDS2017,xgb,default,0.5,high_pps_atk_q75,atk: pps >= Q75=1.97,7354,1837,5517,0.0,0.0,0.0,0.0002,0.6159,0.0,0.0,high_volume_neutral
cic_to_iot,IoT-23,CIC-IDS2017,xgb,fixed_fpr,3.7e-05,full_test,all 12865 flows,12865,7348,5517,0.1346,0.0725,0.9367,0.0065,0.8755,0.0,0.0,baseline
cic_to_iot,IoT-23,CIC-IDS2017,xgb,fixed_fpr,3.7e-05,tcp_only,TCP flows only (protocol=6),8030,7346,684,0.1347,0.0726,0.9384,0.0512,0.8047,0.0001,0.0001,protocol_neutral
cic_to_iot,IoT-23,CIC-IDS2017,xgb,fixed_fpr,3.7e-05,udp_only,UDP flows only (protocol=17),4835,2,4833,0.0,0.0,0.0,0.0002,0.8151,-0.1346,-0.0725,protocol_dominant_recall_loss
cic_to_iot,IoT-23,CIC-IDS2017,xgb,fixed_fpr,3.7e-05,high_vol_atk_q75,atk: bytes_total >= Q75=360,9369,3852,5517,0.2375,0.136,0.9357,0.0065,0.9704,0.1029,0.0635,high_volume_easier
cic_to_iot,IoT-23,CIC-IDS2017,xgb,fixed_fpr,3.7e-05,high_pps_atk_q75,atk: pps >= Q75=1.97,7354,1837,5517,0.2705,0.1595,0.8906,0.0065,0.6159,0.1359,0.087,high_volume_easier
cic_to_iot,IoT-23,CIC-IDS2017,lstm,default,0.5,full_test,all 12865 flows,12865,7348,5517,0.0,0.0,0.0,0.0002,0.9212,0.0,0.0,baseline
