setting,source,target,method,threshold_type,threshold_value,f1,recall,fpr,classification,evidence_status,interpretation,notes
in_domain,cic,cic,lr,default,0.5,0.31,0.1937,0.0376,observed_nonzero,observed_row,"F1=0.3100, Recall=0.1937, FPR=0.0376",
in_domain,cic,cic,lr,val_tuned,1.0,0.0016,0.0008,0.0,degenerate_threshold,observed_row,Threshold 1.0000 near boundary; recall=0.0008 (near-zero); effectively all-benign prediction,degenerate threshold (thr=1.0)
in_domain,cic,cic,lr,fixed_fpr,0.726,0.3164,0.1905,0.0092,observed_nonzero,observed_row,"F1=0.3164, Recall=0.1905, FPR=0.0092",
in_domain,cic,cic,rf,default,0.5,0.0737,0.0383,0.0001,observed_nonzero,observed_row,"F1=0.0737, Recall=0.0383, FPR=0.0001",
in_domain,cic,cic,rf,val_tuned,0.036,0.3236,0.1934,0.0013,observed_nonzero,observed_row,"F1=0.3236, Recall=0.1934, FPR=0.0013",
in_domain,cic,cic,rf,fixed_fpr,0.005,0.7438,0.6006,0.0096,observed_nonzero,observed_row,"F1=0.7438, Recall=0.6006, FPR=0.0096",
in_domain,cic,cic,xgb,default,0.5,0.1256,0.067,0.0001,observed_nonzero,observed_row,"F1=0.1256, Recall=0.0670, FPR=0.0001",
in_domain,cic,cic,xgb,val_tuned,4.8e-05,0.3212,0.1937,0.0085,observed_nonzero,observed_row,"F1=0.3212, Recall=0.1937, FPR=0.0085",
in_domain,cic,cic,xgb,fixed_fpr,3.7e-05,0.3205,0.1937,0.0103,observed_nonzero,observed_row,"F1=0.3205, Recall=0.1937, FPR=0.0103",
in_domain,cic,cic,cnn1d,default,0.5,0.3197,0.1903,0.0004,observed_nonzero,observed_row,"F1=0.3197, Recall=0.1903, FPR=0.0004",
in_domain,cic,cic,cnn1d,val_tuned,0.316,0.3197,0.1904,0.0004,observed_nonzero,observed_row,"F1=0.3197, Recall=0.1904, FPR=0.0004",
in_domain,cic,cic,cnn1d,fixed_fpr,0.122,0.9923,0.9888,0.0028,observed_nonzero,observed_row,"F1=0.9923, Recall=0.9888, FPR=0.0028",
in_domain,cic,cic,lstm,default,0.5,0.3199,0.1905,0.0005,observed_nonzero,observed_row,"F1=0.3199, Recall=0.1905, FPR=0.0005",
in_domain,cic,cic,lstm,val_tuned,0.619,0.3199,0.1905,0.0005,observed_nonzero,observed_row,"F1=0.3199, Recall=0.1905, FPR=0.0005",
in_domain,cic,cic,lstm,fixed_fpr,0.002,0.3164,0.1905,0.0092,observed_nonzero,observed_row,"F1=0.3164, Recall=0.1905, FPR=0.0092",
in_domain,iot,iot,lr,default,0.5,0.0608,0.0323,0.0377,observed_nonzero,observed_row,"F1=0.0608, Recall=0.0323, FPR=0.0377",
in_domain,iot,iot,lr,val_tuned,0.014,0.0663,0.0357,0.0535,observed_nonzero,observed_row,"F1=0.0663, Recall=0.0357, FPR=0.0535",
in_domain,iot,iot,lr,fixed_fpr,1.0,0.0014,0.0007,0.0054,degenerate_threshold,observed_row,Threshold 1.0000 near boundary; recall=0.0007 (near-zero); effectively all-benign prediction,degenerate threshold
in_domain,iot,iot,rf,default,0.5,0.0024,0.0012,0.0207,observed_nonzero,observed_row,"F1=0.0024, Recall=0.0012, FPR=0.0207",
in_domain,iot,iot,rf,val_tuned,0.95,0.0,0.0,0.0027,observed_true_zero,observed_row,Zero recall at this threshold; model produces no (or negligible) positive predictions,
in_domain,iot,iot,rf,fixed_fpr,1.0,0.0,0.0,0.0005,degenerate_threshold,observed_row,Threshold 1.0000 near boundary; recall=0.0000 (near-zero); effectively all-benign prediction,degenerate threshold
in_domain,iot,iot,xgb,default,0.5,0.0588,0.0309,0.0254,observed_nonzero,observed_row,"F1=0.0588, Recall=0.0309, FPR=0.0254",
in_domain,iot,iot,xgb,val_tuned,0.991,0.0022,0.0011,0.0073,degenerate_threshold,observed_row,Threshold 0.9910 near boundary; recall=0.0011 (near-zero); effectively all-benign prediction,
in_domain,iot,iot,xgb,fixed_fpr,1.0,0.0,0.0,0.0,degenerate_threshold,observed_row,Threshold 1.0000 near boundary; recall=0.0000 (near-zero); effectively all-benign prediction,degenerate threshold
in_domain,iot,iot,cnn1d,default,0.5,0.0265,0.0136,0.0187,observed_nonzero,observed_row,"F1=0.0265, Recall=0.0136, FPR=0.0187",
