setting,source,target,method,threshold_type,threshold_value,f1,recall,fpr,notes
in_domain,cic,cic,lr,default,0.5,0.31,0.1937,0.0376,
in_domain,cic,cic,lr,val_tuned,1.0,0.0016,0.0008,0.0,degenerate threshold (thr=1.0)
in_domain,cic,cic,lr,fixed_fpr,0.726,0.3164,0.1905,0.0092,
in_domain,cic,cic,rf,default,0.5,0.0737,0.0383,0.0001,
in_domain,cic,cic,rf,val_tuned,0.036,0.3236,0.1934,0.0013,
in_domain,cic,cic,rf,fixed_fpr,0.005,0.7438,0.6006,0.0096,
in_domain,cic,cic,xgb,default,0.5,0.1256,0.067,0.0001,
in_domain,cic,cic,xgb,val_tuned,4.8e-05,0.3212,0.1937,0.0085,
in_domain,cic,cic,xgb,fixed_fpr,3.7e-05,0.3205,0.1937,0.0103,
in_domain,cic,cic,cnn1d,default,0.5,0.3197,0.1903,0.0004,
in_domain,cic,cic,cnn1d,val_tuned,0.316,0.3197,0.1904,0.0004,
in_domain,cic,cic,cnn1d,fixed_fpr,0.122,0.9923,0.9888,0.0028,
in_domain,cic,cic,lstm,default,0.5,0.3199,0.1905,0.0005,
in_domain,cic,cic,lstm,val_tuned,0.619,0.3199,0.1905,0.0005,
in_domain,cic,cic,lstm,fixed_fpr,0.002,0.3164,0.1905,0.0092,
in_domain,iot,iot,lr,default,0.5,0.0608,0.0323,0.0377,
in_domain,iot,iot,lr,val_tuned,0.014,0.0663,0.0357,0.0535,
in_domain,iot,iot,lr,fixed_fpr,1.0,0.0014,0.0007,0.0054,degenerate threshold
in_domain,iot,iot,rf,default,0.5,0.0024,0.0012,0.0207,
in_domain,iot,iot,rf,val_tuned,0.95,0.0,0.0,0.0027,
in_domain,iot,iot,rf,fixed_fpr,1.0,0.0,0.0,0.0005,degenerate threshold
in_domain,iot,iot,xgb,default,0.5,0.0588,0.0309,0.0254,
in_domain,iot,iot,xgb,val_tuned,0.991,0.0022,0.0011,0.0073,
in_domain,iot,iot,xgb,fixed_fpr,1.0,0.0,0.0,0.0,degenerate threshold
in_domain,iot,iot,cnn1d,default,0.5,0.0265,0.0136,0.0187,
in_domain,iot,iot,cnn1d,val_tuned,0.99,0.0005,0.0003,0.0062,
in_domain,iot,iot,cnn1d,fixed_fpr,1.0,0.0,0.0,0.0015,degenerate threshold
in_domain,iot,iot,lstm,default,0.5,0.4681,0.3251,0.0852,
in_domain,iot,iot,lstm,val_tuned,0.915,0.4402,0.2999,0.0836,
in_domain,iot,iot,lstm,fixed_fpr,0.937,0.0019,0.001,0.0009,
in_domain,unsw,unsw,lr,default,0.5,0.538,0.8985,0.0865,
in_domain,unsw,unsw,lr,val_tuned,0.799,0.641,0.6994,0.029,
in_domain,unsw,unsw,lr,fixed_fpr,1.0,0.0282,0.0143,0.0,degenerate threshold
in_domain,unsw,unsw,rf,default,0.5,0.8301,0.9835,0.0232,
in_domain,unsw,unsw,rf,val_tuned,0.492,0.8296,0.9837,0.0233,
in_domain,unsw,unsw,rf,fixed_fpr,1.0,0.0035,0.0017,0.0,degenerate threshold
in_domain,unsw,unsw,xgb,default,0.5,0.8155,0.9876,0.0261,
in_domain,unsw,unsw,xgb,val_tuned,0.829,0.8219,0.9516,0.0218,
in_domain,unsw,unsw,xgb,fixed_fpr,1.0,0.0003,0.0001,0.0,degenerate threshold
in_domain,unsw,unsw,cnn1d,default,0.5,0.8261,0.9991,0.0252,
in_domain,unsw,unsw,cnn1d,val_tuned,0.801,0.8344,0.999,0.0237,
in_domain,unsw,unsw,cnn1d,fixed_fpr,1.0,0.0017,0.0009,0.0,degenerate threshold
in_domain,unsw,unsw,lstm,default,0.5,0.8122,0.9973,0.0275,
in_domain,unsw,unsw,lstm,val_tuned,0.9,0.8191,0.9855,0.0253,
in_domain,unsw,unsw,lstm,fixed_fpr,1.0,0.0003,0.0001,0.0,degenerate threshold
cross_domain,cic,iot,lr,default,0.5,0.8921,0.8153,0.0167,
cross_domain,cic,iot,lr,fixed_fpr,0.726,0.825,0.7062,0.0076,CIC fixed_fpr applied to IoT
cross_domain,cic,iot,rf,default,0.5,0.0,0.0,0.0002,
cross_domain,cic,iot,rf,fixed_fpr,0.005,0.5662,0.4189,0.0808,CIC fixed_fpr applied to IoT
cross_domain,cic,iot,xgb,default,0.5,0.0,0.0,0.0002,
cross_domain,cic,iot,xgb,fixed_fpr,3.7e-05,0.1346,0.0725,0.0065,CIC fixed_fpr applied to IoT
cross_domain,cic,iot,cnn1d,default,0.5,0.0005,0.0003,0.029,
cross_domain,cic,iot,cnn1d,fixed_fpr,0.122,0.0594,0.0314,0.0366,CIC fixed_fpr applied to IoT
cross_domain,cic,iot,lstm,default,0.5,0.0,0.0,0.0002,
